	featureCounts on dataset 70 and 73: Counts	featureCounts on dataset 71 and 73: Counts	featureCounts on dataset 72 and 73: Counts	featureCounts on dataset 67 and 73: Counts	featureCounts on dataset 68 and 73: Counts	featureCounts on dataset 69 and 73: Counts
ileT	97.6536406909777	69.3890498354975	94.4630620419136	60.1229569126453	63.1133487597552	62.7769181041123
alaT	153.01633462602	134.494824989792	142.553348172342	100.204928187742	192.782592575252	100.70463945868
leuT	98.4225669956311	96.8020077952003	95.3218171513855	59.0095688216704	34.4254629598665	56.2376558016006
F6	658.969843087936	645.061166989255	646.642597432372	954.1735939655	1282.92225297102	877.56900099707
glyU	22.2988628349477	38.549472130832	37.7852248167654	46.7622998209463	30.9829166638798	26.1570492100468
tyrT	19.9920839209876	8.56654936240711	16.3163470799669	7.79371663682439	9.1801234559644	17.0020819865304
B55	49.9802098024689	38.549472130832	32.6326941599338	20.0409856375484	8.03260802396885	26.1570492100468
thrT	454.43544605014	403.484474969375	410.484942327588	325.109322564674	349.992206758643	360.967279098646
metT	314.490858603227	336.665389942599	346.937064226664	292.821067926402	239.83072528707	304.729623297045
trpT	1153.38945698005	890.064478754098	887.094028084516	789.392156501213	1303.57753074694	868.414033773554
thrV	164.550229195821	85.665493624071	100.474347808217	110.225421006516	81.473595671684	116.398868984708
ASdes	2423.65571226742	2608.51428085296	2592.58167549579	2718.89371816074	3406.97331759479	2127.87595323731
lysT	10.7649682651472	11.1365141711292	10.3050613136633	7.79371663682439	9.1801234559644	3.92355738150702
gluT	153.01633462602	274.129579597027	255.909022622639	348.490472475148	265.076064790972	368.81439386166
aspT	39.9841678419751	81.3822189428675	103.909368246105	60.1229569126453	114.751543199555	75.8554427091357
pheU	67.6655148094964	50.5426412382019	60.1128576630359	44.5355236389965	28.6878857998887	34.0041639730608
argT	57.6694728490026	66.8190850267754	55.8190821156762	40.0819712750968	80.3260802396885	39.2355738150702
alaV	169.163787023741	100.228627540163	119.3669602166	60.1229569126453	86.0636573996662	73.239737788131
glnT	49.2112834978155	37.6928171945913	29.197673722046	32.2882546382725	19.5077623439243	36.6198688940655
leuX	69.9722937234565	53.112606046924	60.1128576630359	53.4426283667958	76.8835339437018	47.0826885780842
MTS0858	16.9163787023741	32.552887577147	28.3389186125741	57.8961807306954	65.4083796237463	64.0847705646147
mcr10	685.113337446151	555.11239868398	536.721943419964	575.62164303403	539.332253037908	511.370312056415
mcr11	311.415153384614	330.668805388914	334.055737584585	379.665339022445	355.72978391862	408.04996767673
argV	29.219199576828	17.1330987248142	20.6101226273266	26.7213141833979	17.2127314799332	20.9256393680374
mcr3	322.949047954415	645.061166989255	671.546495607058	1101.14082197419	1153.25300915553	1709.36316587656
rrs	14496.5676216299	5841.53001022541	5863.57988747442	405680.765156165	446100.066734566	992101.564520641
rrl	60930.4893070375	30005.1957967671	30177.5133019535	1477891.31097446	1654740.20324622	3570863.57707351
rrf	13.0717471791073	30.8395777046656	32.6326941599338	232.698111013757	286.878857998887	507.446754674908
leuW	7.68926304653368	11.1365141711292	8.58755109471942	33.4016427292474	22.950308639911	41.8512787360749
mcr15	296.036627291547	318.675636281544	299.705533205708	544.446776486732	488.841574030104	508.75460713541
MTS1082	621.292454159921	1164.19405835113	1149.87309158293	988.688624785722	869.816697452627	902.418197746615
leuV	3.84463152326684	10.2798592348885	12.0225715326072	8.9071047277993	13.7701851839466	13.0785246050234
G2	136.868882228299	170.474332311901	170.892266784916	309.521889291026	302.944074046825	278.572574086998
proT	58.438399153656	31.6962326409063	33.4914492694057	14.4740451826739	28.6878857998887	22.2334918285398
AS1726	22.2988628349477	15.4197888523328	14.598836861023	21.1543737285233	27.5403703678932	24.8491967495445
MTS1338	332.176163610255	376.928171945913	373.558472620295	272.780082288854	239.83072528707	334.810229888599
AS1890	23.8367154442544	35.1228523858691	30.056428831518	40.0819712750968	41.3105555518398	36.6198688940655
ASpks	10.7649682651472	1.71330987248142	8.58755109471942	25.607926092423	25.2453395039021	13.0785246050234
leuU	15.3785260930674	13.7064789798514	17.1751021894388	20.0409856375484	12.622669751951	15.6942295260281
rnpB	275215.640814143	396505.307203822	396529.31304356	296308.199427335	301338.699957463	265078.152399535
valV	128.410692877112	107.93852196633	108.203143793465	65.6898973675198	102.128873447604	60.1612131831076
mcr16	1287.18263398974	1186.46708669338	1182.50578574286	629.064271400826	857.194027700676	555.837295713494
metV	181.466607898195	140.491409543477	157.152185033365	87.9576591870181	137.701851839466	81.0868525511451
asnT	21.5299365302943	23.9863382147399	21.4688777367985	21.1543737285233	14.9177006159421	24.8491967495445
mcr7	12485.8253349614	15850.6862852619	15720.3710339934	18129.2982853445	18370.5745508168	15993.7277394831
proU	116.107872002659	84.8088386878303	94.4630620419136	102.431704369692	99.8338425836128	99.3967869981778
glyV	115.338945698005	101.085282476404	79.0054700714186	71.2568378223944	49.3431635758086	73.239737788131
argW	16.1474523977207	15.4197888523328	16.3163470799669	13.3606570916989	10.3276388879599	13.0785246050234
hisT	34.6016837094016	35.9795073221098	29.197673722046	45.6489117299714	51.6381944397997	52.3140984200936
lysU	97.6536406909777	84.8088386878303	80.7229802903625	44.5355236389965	51.6381944397997	48.3905410385866
valT	31.5259784907881	42.8327468120355	48.0902861304287	27.8347022743728	22.950308639911	31.3884590520562
glyT	27.6813469675212	46.2593665569984	48.0902861304287	47.8756879119212	96.3912962876262	81.0868525511451
cysU	14.609599788414	29.9829227684249	32.6326941599338	20.0409856375484	9.1801234559644	32.6963115125585
valU	36.1395363187083	27.4129579597027	25.7626532841583	10.0204928187742	10.3276388879599	13.0785246050234
gluU	42.2909467559352	53.112606046924	47.2315310209568	48.9890760028961	58.523287031773	41.8512787360749
glnU	93.8090091677109	68.5323948992568	74.7116945240589	111.338809097491	68.850925919733	85.0104099326521
alaU	34.6016837094016	41.9760918757948	42.9377554735971	45.6489117299714	50.4906790078042	53.6219508805959
ssr	449406.668017707	653025.487931485	654296.681723095	671982.042143635	657151.104987187	607612.558919861
