	featureCounts on dataset 70 and 73: Counts	featureCounts on dataset 71 and 73: Counts	featureCounts on dataset 72 and 73: Counts	featureCounts on dataset 67 and 73: Counts	featureCounts on dataset 68 and 73: Counts	featureCounts on dataset 69 and 73: Counts
ileT	6.4409785390903	6.1548250577024	6.41090663047778	6.04648796245825	6.08328825123189	6.08093021473024
alaT	7.17579625521428	7.07251224862051	7.11855048141556	6.85290987078156	7.36465881397578	6.85858113194782
leuT	6.42280229142891	6.40666372842057	6.39316693579671	6.00187065159937	5.63902082410203	5.96917657338916
F6	9.47890490946632	9.45990366870104	9.46210549566708	9.82103041403478	10.1060696455054	9.74218840667533
glyU	4.78154836301979	5.16316974262372	5.14787823420869	5.30746013122905	5.00466058412248	4.89933815021717
tyrT	3.88935183618262	3.54536921183696	3.78852632555486	3.528410894394	3.57463597221217	3.79777217064934
B55	5.24554099093257	5.03266432461363	4.90813315365846	4.59908910208661	4.2228905302702	4.75770047464442
thrT	8.75079061240334	8.63181287492254	8.64892957809416	8.42096629455946	8.49205911845552	8.52225542902633
metT	8.28115510397566	8.34748337681209	8.37694948355812	8.21238940952395	8.02500119571717	8.25055488360169
trpT	10.0854017122108	9.84062457033134	9.83752305433334	9.73051249816842	10.2031418474355	9.81814761259175
thrV	7.10135543023587	6.57545927694107	6.6958842164868	6.76800815101804	6.54251814423733	6.81028561847785
ASdes	11.2763371893537	11.3511682928007	11.3449137718359	11.3935416690384	11.6269092554097	11.1454988981671
lysT	3.20241794265705	3.21178571994214	3.18846386805597	3.11627651337245	3.15551063617549	3.00446869107794
gluT	7.56142529383914	8.08902680390485	8.02427444809285	8.31869446525682	8.05742193013858	8.37297322867805
aspT	5.77604832410673	6.30442186785811	6.51040258593715	6.07073664416133	6.59189046373751	6.24747834551973
pheU	5.86103477338049	5.60784318849189	5.75441384725989	5.50655532355534	5.19917662242471	5.31626665846696
argT	5.82684090186098	5.95106583426971	5.79965728322187	5.54956735773493	6.10603507090205	5.54082156402309
alaV	7.07186523970512	6.62868008998763	6.77051351640158	6.25803558579272	6.51176223640343	6.39649248152343
glnT	5.36792770355438	5.15330407174064	4.96845471696007	5.04012324772831	4.73453500090951	5.12739682310329
leuX	6.03264305379558	5.8038106951142	5.90395508383103	5.81105914772589	6.10824556281503	5.71912915973649
MTS0858	4.75837691350091	5.18032135376181	5.0828651344999	5.63330532711395	5.73793689015912	5.71429751920315
mcr10	9.32757529096031	9.12540048433688	9.09356228316618	9.15979273908604	9.09829652870281	9.04863837105996
mcr11	8.33939529042872	8.39791118967054	8.40787519671188	8.53378693243437	8.46959529263992	8.60478853750599
argV	4.63344732888201	4.31114255946899	4.41257423401132	4.56619109066133	4.32132225251287	4.42324293414863
mcr3	8.88063146662613	9.46909167085946	9.50546186851822	9.96884457215205	10.0135760108061	10.4034962260322
rrs	16.4869763390942	16.3984384884537	16.3986781265758	17.928450322514	18.0011842686654	18.6686164518786
rrl	19.7943949344958	19.7892542049735	19.7892829263298	20.0022828976174	20.0247149166009	20.2256018492376
rrf	5.57853084258528	5.9396444909551	5.96895104302787	7.4390729637666	7.63672188789254	8.20123503847382
leuW	3.81942987779999	3.96637751109261	3.86716995704052	4.58120570937286	4.33535929218435	4.73448324224877
mcr15	8.34810705516236	8.41899302898739	8.36039171094561	8.94914336145673	8.83988182668577	8.87961296309016
MTS1082	9.49501362282069	10.0756693358964	10.0637611451769	9.91981259267788	9.80017607199768	9.8343608264015
leuV	3.10980970729364	3.33607177574795	3.38855284134186	3.29474981153787	3.43263474372655	3.41152958417575
G2	7.37381000435615	7.55659431078527	7.55868276341809	8.08848286187303	8.06821054845083	7.98977816072857
proT	5.44260375020883	4.9512310547081	4.99105708540609	4.50474622453461	4.8829665122398	4.7317882040465
AS1726	4.41207186488208	4.21057351322716	4.1841917202158	4.37951122873649	4.53513964289156	4.46909696978129
MTS1338	8.35591157267636	8.48065642475469	8.47171852209168	8.1662371280606	8.04581000864323	8.36311393634799
