	featureCounts on dataset 70 and 73: Counts	featureCounts on dataset 71 and 73: Counts	featureCounts on dataset 72 and 73: Counts	featureCounts on dataset 67 and 73: Counts	featureCounts on dataset 68 and 73: Counts	featureCounts on dataset 69 and 73: Counts
ileT	-10.6033983269193	-11.5564667964355	-10.6948755887608	-11.9639665545615	-11.8257189518558	-11.8409351298749
alaT	-9.37311229790263	-9.72824640044185	-9.56868887648673	-10.5325141084114	-8.71365029866272	-10.5188551627291
leuT	-10.5818291156145	-10.6274998709753	-10.6699332946914	-12.0172138205364	-13.4830192064093	-12.1541718919706
F6	-4.44768348299954	-4.52003182177908	-4.51171632848983	-3.19684232540792	-2.16638471263902	-3.48228374393442
glyU	-14.4775493385533	-13.193883937368	-13.2459209429875	-12.6736910930519	-13.7413545205462	-14.1338178693463
tyrT	-14.6979442941061	-16.0053111039973	-15.0758860063354	-16.1095175742675	-15.9242415329794	-15.002670281044
B55	-12.487927708554	-13.193883937368	-13.6154856756881	-14.6931455462228	-16.077049883486	-14.1338178693463
thrT	-5.75136022289546	-6.18791225538256	-6.12440034258759	-6.98365776834916	-6.71381718001141	-6.59993251345278
metT	-7.10377297214253	-6.85632040989611	-6.74607618810466	-7.35824872252276	-8.03571476490251	-7.2168393938622
trpT	-2.54080812907222	-3.43422835500641	-3.44559676406009	-3.84015767134224	-2.10978813876965	-3.51788580385841
thrV	-9.17004271835497	-10.9653462078859	-10.5251409180064	-10.2714649277354	-11.1050116529957	-10.122675394815
ASdes	0.184069494149654	0.470168221152978	0.446191667248048	0.63299181724598	1.53954607910797	-0.314469144337529
lysT	-15.7211878834663	-15.6748494204456	-15.7792051645074	-16.1095175742675	-15.9242415329794	-16.6706955920305
gluT	-9.37311229790263	-7.58802755631731	-7.82150485118621	-6.72964349967918	-7.70284185047631	-6.52041625750728
aspT	-13.0979796237538	-11.1081431371985	-10.4329304117919	-11.9639665545615	-10.161570823461	-11.3050818138655
pheU	-11.6277617675009	-12.4564688349804	-11.9644451235181	-12.8080807399812	-13.9232501803913	-13.5137597258045
argT	-12.0826311381579	-11.6634877592121	-12.1754139581619	-13.0915244289866	-11.1446195461232	-13.1477347745961
alaV	-9.091916418283	-10.5318646855545	-10.05398659376	-11.9639665545615	-10.9524697207973	-11.4038501846717
glnT	-12.5314185086708	-13.252258782137	-13.8821322924251	-13.6414420881699	-14.7457800265952	-13.3265880654702
leuX	-11.5327701497944	-12.316448646657	-11.9644451235181	-12.2989038637351	-11.2672782483485	-12.6547504983848
MTS0858	-15.0117495588327	-13.6214849216454	-13.9516401535136	-12.0714607816195	-11.7241088507271	-11.7822487221715
mcr10	-4.31623970126038	-5.03700964812471	-5.15517114880822	-4.91071636188026	-5.13810184986561	-5.32639399808127
mcr11	-7.13912472780905	-6.9219586713725	-6.88476943291097	-6.4130708218996	-6.65389054329285	-6.14635794449798
argV	-13.880405265212	-14.9888293965326	-14.6377096189791	-14.085910477517	-14.9804396595516	-14.6073007885224
mcr3	-7.00785256437351	-4.52003182177908	-4.38373809088724	-2.70245710133859	-2.54122174619871	-1.13177959908054
rrs	7.83874299515696	3.8337071440414	3.85018769094856	18.7483429384759	18.9145644129746	19.9732231478262
rrl	13.5640306722339	10.8865486840473	10.9094538773963	20.3034258302175	20.3779646329746	20.7204467710703
rrf	-15.4410563724407	-13.7524781723287	-13.6154856756881	-8.13334192001147	-7.4302519014546	-5.35381493680628
leuW	-16.1237874142291	-15.6748494204456	-16.0025123492276	-13.5581347390828	-14.4174216508333	-12.9765050102532
mcr15	-7.31968680234449	-7.05607806098284	-7.27603087099142	-5.1049467740249	-5.48743036098457	-5.34464612054465
MTS1082	-4.64793083629655	-2.50819269913767	-2.55148122398142	-3.07491297845811	-3.51240916386268	-3.38731266354684
leuV	-16.6828629785049	-15.7824054968108	-15.5662463401371	-15.9601377113922	-15.3597083986469	-15.4402594463258
G2	-9.6803461098834	-9.07001251969973	-9.06305316377795	-7.16101118696531	-7.23779803347603	-7.53253056475946
proT	-12.0449162391904	-13.6864499292476	-13.5514895328168	-15.2792898610185	-13.9232501803913	-14.4836326430868
AS1726	-14.4775493385533	-15.1736229123495	-15.2651920990207	-14.5853977167384	-14.0173663741143	-14.2470917746868
MTS1338	-6.9053703152385	-6.43986420467494	-6.47311277338711	-7.60499385583286	-8.03571476490251	-6.87652599704933
AS1890	-14.3370172076456	-13.4326432364278	-13.8138008910055	-13.0915244289866	-13.0113078330962	-13.3265880654702
ASpks	-15.7211878834663	-17.019382070034	-16.0025123492276	-14.1809915831858	-14.212445112457	-15.4402594463258
leuU	-15.1781773680218	-15.3670637340749	-14.9844019609399	-14.6931455462228	-15.4941957385239	-15.1434581614095
rnpB	17.9732490175612	18.7069393210617	18.7070495942007	18.1327604680861	18.168332786732	17.8900123476134
valV	-9.85474670749361	-10.3287827400258	-10.3220859139934	-11.7119020397246	-10.4803166246169	-11.9621544487821
mcr16	-2.15464581103764	-2.44179478708962	-2.45352271826575	-4.60549337345186	-3.56198386865704	-5.03244992688844
metV	-8.89081977250486	-9.60871471571897	-9.29892224407565	-10.8920907691404	-9.66372231367711	-11.1182918012006
asnT	-14.5496896761791	-14.3236015359379	-14.5554736739975	-14.5853977167384	-15.2293854403745	-14.2470917746868
mcr7	7.18669148941036	8.22542789490617	8.18979721519872	8.80146949572636	8.85777224547939	8.26417428649131
proU	-10.12950519126	-10.9932723950148	-10.6948755887608	-10.4721957023463	-10.5427041390151	-10.5547574656777
glyV	-10.1476364769586	-10.5084989750548	-11.1909781040583	-11.4813235816477	-12.5239195888363	-11.4038501846717
argW	-15.0941212164774	-15.1736229123495	-15.0758860063354	-15.4072167690234	-15.7763399712483	-15.4402594463258
hisT	-13.4702303024962	-13.3716126539705	-13.8821322924251	-12.7402844735658	-12.3960371637201	-12.3593060538793
lysU	-10.6033983269193	-10.9932723950148	-11.1308502051423	-12.8080807399812	-12.3960371637201	-12.5784590147651
valT	-13.6994868303407	-12.9140961097428	-12.5958286538992	-13.9930161027076	-14.4174216508333	-13.7100479717307
glyT	-14.0056849661857	-12.7036235105922	-12.5958286538992	-12.6082960239776	-10.6392041465879	-11.1182918012006
cysU	-15.2639784395541	-13.8196047357344	-13.6154856756881	-14.6931455462228	-15.9242415329794	-13.6107097954745
valU	-13.3603135425962	-14.0279529911205	-14.1676435482312	-15.8154694458816	-15.7763399712483	-15.4402594463258
gluU	-12.9484274634934	-12.316448646657	-12.6459850177826	-12.5440909306727	-12.0407823061726	-12.9765050102532
glnU	-10.7140355410165	-11.5916628411539	-11.3478037552774	-10.2440054273746	-11.5785210138496	-10.9866737920231
alaU	-13.4702303024962	-12.9685143338016	-12.9074761046819	-12.7402844735658	-12.4593628510303	-12.2894115938523
ssr	18.9271082335389	19.4921568342603	19.4947500288853	19.5299636518245	19.5005420362338	19.3935702875918
metU	-13.5263339920417	-13.7524781723287	-13.3052075880115	-14.3781410311187	-13.2402515849038	-13.5137597258045
thrU	-14.4066728366819	-14.2476367110566	-14.2422898713977	-11.6641591858764	-12.5897236685209	-12.2210448550588
B11	-8.2798474635282	-7.17407469333735	-7.2254014080301	-6.00332770013252	-7.60085797939797	-6.76374869925904
MTS2823	14.7257439186107	14.6047557863424	14.6193891644152	19.6646159408776	19.5744840482742	19.5481141879049
proY	-10.6915251124443	-11.5217348941348	-11.2525590115632	-12.0172138205364	-11.2257331025972	-12.6547504983848
C8	-7.54485089067724	-7.16413394847585	-7.24559358121202	-8.32081956524051	-9.25742976359622	-8.22293136730633
serV	-9.71128536541152	-10.4170884522392	-10.1743762825729	-8.63133067929481	-9.64097205303447	-9.30264854018714
serX	-14.1349757244772	-12.9685143338016	-13.3052075880115	-13.0915244289866	-12.6567885859283	-12.9765050102532
argU	-13.1490947891265	-11.6634877592121	-12.1319943754921	-12.9472948292143	-13.1624782610348	-13.6107097954745
serT	-11.0007221309884	-9.85288606647349	-10.0935201281617	-11.7605038227685	-12.5897236685209	-10.7035783799592
serU	-11.1841169908556	-13.1363446555062	-12.5463790887492	-12.0714607816195	-12.0407823061726	-12.2210448550588
MTS2975	-10.9015620090617	-10.5554434986334	-10.4556773327286	-10.1108201285468	-10.4496775836474	-9.80470840797295
